level_key,features_set,classifier,K,feature,importance
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_avg_base_disp_time,0.02273707709625227
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_avg_var_disp_time,0.021244841975485422
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_avg_condi_disp_time,0.01981662810611288
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_avg_for_disp_time,0.19937236928856564
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_avg_while_disp_time,0.0038879744102154256
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_std_base_disp_time,0.009747541534894792
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_std_condi_disp_time,0.012877488620730262
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_rate_code_editor_copied,0.008006291734994463
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_rate_control_function_copied,0.009595366508061632
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_rate_var_creation_copied,0.001069055521983881
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_rate_var_usage_copied,0.0008693652156748898
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_rate_condi_1bran_copied,0.003971838949975295
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_rate_condi_2bran_copied,7.706817569388305e-05
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_rate_condi_3bran_copied,0.002225817844627406
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_rate_for_simple_copied,0.03449463303864401
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_rate_for_counter_0_copied,0.0007984294824968935
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_rate_for_counter_n_copied,0.0021627234574195064
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_rate_while_simple_copied,0.004471940764423023
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,CO_rate_pasted,0.029668367342438266
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,GA_avg_open_chest_loc_error,0.017198104755951352
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,GA_avg_walk_loc_error,0.02406778071099358
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,GA_avg_not_allowed_func_error,0.007722308372810327
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,GA_avg_function_param_error,0.032007920603382915
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,0,EX_avg_too_many_lines_error,0.004916489113492202
