level_key,features_set,classifier,K,feature,importance
Level1,all_features_help_received,Random Forest,0,level_time_spent,0.004133551108401379
Level1,all_features_help_received,Random Forest,0,CO_tot_base_program_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_base_error_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_base_structure_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_base_comment_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_var_creation_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_var_modif_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_var_usage_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_var_type_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_condi_1bran_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_condi_2bran_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_condi_3bran_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_for_simple_disp_time,0.006999941685540079
Level1,all_features_help_received,Random Forest,0,CO_tot_for_counter_0_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_for_counter_n_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_tot_while_simple_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_base_program_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_base_error_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_base_structure_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_base_comment_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_var_creation_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_var_modif_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_var_usage_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_var_type_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_condi_1bran_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_condi_2bran_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_condi_3bran_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_for_simple_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_for_counter_0_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_for_counter_n_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_avg_while_simple_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_std_base_program_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_std_base_error_disp_time,0.0
Level1,all_features_help_received,Random Forest,0,CO_std_base_structure_disp_time,0.0
