level_key,features_set,K,classifier,grid_F1,grid_params,precision,recall,f1_score
Level1,all_features_help_received,0,Dummy random,,,0.4707070707070707,0.30303030303030304,0.3014837368904355
Level1,all_features_help_received,0,Ordered baseline,,,0.6427272727272727,0.3939393939393939,0.35800045913682277
Level1,all_features_help_received,0,Naive Bayes,0.7822936117723394,{'naive_bayes_clf__alpha': 1.0},0.6405723905723906,0.6363636363636364,0.6192607897153352
Level1,all_features_help_received,0,Logistic regression,0.8705975550216287,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.5756798756798758,0.5454545454545454,0.5324320903268271
Level1,all_features_help_received,0,SVM,0.9029266556540101,"{'svm_gaussian_clf__C': 10.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.506060606060606,0.5757575757575758,0.5085589791472145
Level1,all_features_help_received,0,Random Forest,0.8770270602318441,"{'random_forest_clf__max_depth': 6, 'random_forest_clf__n_estimators': 100}",0.5343137254901961,0.5454545454545454,0.503902662993572
Level1,all_features_help_received,1,Dummy random,,,0.2537037037037037,0.2,0.20640692640692634
Level1,all_features_help_received,1,Ordered baseline,,,0.8660606060606061,0.3,0.3565359477124183
Level1,all_features_help_received,1,Naive Bayes,0.7929934541297519,{'naive_bayes_clf__alpha': 0.1},0.5801587301587302,0.5,0.5084110885733604
Level1,all_features_help_received,1,Logistic regression,0.877511308681812,"{'logistic_regression_clf__C': 10.0, 'logistic_regression_clf__max_iter': 200}",0.7246031746031747,0.6333333333333333,0.6453159041394336
Level1,all_features_help_received,1,SVM,0.9082709964013519,"{'svm_gaussian_clf__C': 10.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.6310144927536232,0.6333333333333333,0.5850877192982457
Level1,all_features_help_received,1,Random Forest,0.880352833088177,"{'random_forest_clf__max_depth': 12, 'random_forest_clf__n_estimators': 200}",0.8384313725490196,0.8333333333333334,0.8279761904761904
Level1,all_features_help_received,2,Dummy random,,,0.4963893249607535,0.34285714285714286,0.3664145658263306
Level1,all_features_help_received,2,Ordered baseline,,,0.7841614906832298,0.42857142857142855,0.45835222978080115
Level1,all_features_help_received,2,Naive Bayes,0.7378367056840689,{'naive_bayes_clf__alpha': 0.1},0.7123809523809523,0.6571428571428571,0.6754004329004328
Level1,all_features_help_received,2,Logistic regression,0.8544211916987084,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.7414141414141414,0.7428571428571429,0.7413664596273292
Level1,all_features_help_received,2,SVM,0.8727402302749265,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 0.1, 'svm_gaussian_clf__kernel': 'rbf'}",0.6761904761904761,0.6571428571428571,0.6568707482993197
Level1,all_features_help_received,2,Random Forest,0.8748113446729064,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 200}",0.7503401360544218,0.7428571428571429,0.7398652959943283
Level1,all_features_help_received,3,Dummy random,,,0.46122448979591835,0.2,0.24920634920634918
Level1,all_features_help_received,3,Ordered baseline,,,0.9478260869565218,0.4,0.3874978354978355
Level1,all_features_help_received,3,Naive Bayes,0.7243356048713191,{'naive_bayes_clf__alpha': 0.1},0.873015873015873,0.6857142857142857,0.7350649350649351
Level1,all_features_help_received,3,Logistic regression,0.838991254611279,"{'logistic_regression_clf__C': 10.0, 'logistic_regression_clf__max_iter': 200}",0.8361067503924647,0.7714285714285715,0.7738440303657695
Level1,all_features_help_received,3,SVM,0.8895980379331221,"{'svm_gaussian_clf__C': 10.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.8120408163265306,0.7714285714285715,0.7769260549748356
Level1,all_features_help_received,3,Random Forest,0.8620271307823828,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 200}",0.8194805194805195,0.8,0.7965463108320251
Level1,all_features_help_received,4,Dummy random,,,0.3700258397932817,0.20930232558139536,0.2454759387898923
Level1,all_features_help_received,4,Ordered baseline,,,0.8794142980189491,0.5348837209302325,0.5502965631447363
Level1,all_features_help_received,4,Naive Bayes,0.7807961479165838,{'naive_bayes_clf__alpha': 1.0},0.8259966777408638,0.813953488372093,0.8169837914023961
Level1,all_features_help_received,4,Logistic regression,0.8617847006269349,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.684257602862254,0.6976744186046512,0.6847305518401864
Level1,all_features_help_received,4,SVM,0.8836362071148791,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 0.1, 'svm_gaussian_clf__kernel': 'rbf'}",0.6205980066445183,0.6511627906976745,0.6295029639762882
Level1,all_features_help_received,4,Random Forest,0.8780906638317937,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.7560822898032201,0.7441860465116279,0.7422515288929566
Level1,all_features_help_requested,0,Dummy random,,,0.3255892255892256,0.21212121212121213,0.20754657357528172
Level1,all_features_help_requested,0,Ordered baseline,,,0.07939393939393939,0.21212121212121213,0.11363636363636363
Level1,all_features_help_requested,0,Naive Bayes,0.7784341904863227,{'naive_bayes_clf__alpha': 1.0},0.6835346471710108,0.6666666666666666,0.663059163059163
Level1,all_features_help_requested,0,Logistic regression,0.8749489358278681,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.5974429610793247,0.5757575757575758,0.5587301587301586
Level1,all_features_help_requested,0,SVM,0.89873776078832,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 0.1, 'svm_gaussian_clf__kernel': 'rbf'}",0.5745769382133019,0.5757575757575758,0.5612868496881036
Level1,all_features_help_requested,0,Random Forest,0.8734106922494096,"{'random_forest_clf__max_depth': 6, 'random_forest_clf__n_estimators': 200}",0.5343137254901961,0.5454545454545454,0.503902662993572
Level1,all_features_help_requested,1,Dummy random,,,0.5055555555555556,0.4,0.427719298245614
Level1,all_features_help_requested,1,Ordered baseline,,,0.13333333333333333,0.3,0.1822222222222222
Level1,all_features_help_requested,1,Naive Bayes,0.7203368599739567,{'naive_bayes_clf__alpha': 0.1},0.5914814814814816,0.4666666666666667,0.48228840125391853
Level1,all_features_help_requested,1,Logistic regression,0.845339680330692,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.6016666666666667,0.6,0.5517460317460317
Level1,all_features_help_requested,1,SVM,0.8846956879300333,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.6799999999999999,0.6,0.5404761904761906
Level1,all_features_help_requested,1,Random Forest,0.8871575340077287,"{'random_forest_clf__max_depth': 12, 'random_forest_clf__n_estimators': 200}",0.8106944444444444,0.8,0.7964976958525346
Level1,all_features_help_requested,2,Dummy random,,,0.31982683982683985,0.22857142857142856,0.2451386071670047
Level1,all_features_help_requested,2,Ordered baseline,,,0.08405797101449276,0.2,0.11428571428571428
Level1,all_features_help_requested,2,Naive Bayes,0.7235097961666501,{'naive_bayes_clf__alpha': 0.1},0.6359340659340659,0.5714285714285714,0.5900583313785285
Level1,all_features_help_requested,2,Logistic regression,0.8589654939598358,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.7142857142857143,0.7142857142857143,0.7142857142857143
Level1,all_features_help_requested,2,SVM,0.8681917544929716,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 0.1, 'svm_gaussian_clf__kernel': 'rbf'}",0.7567099567099567,0.7428571428571429,0.7431529133392487
Level1,all_features_help_requested,2,Random Forest,0.8799998767695737,"{'random_forest_clf__max_depth': 12, 'random_forest_clf__n_estimators': 100}",0.7701726844583987,0.7428571428571429,0.7437362637362638
Level1,all_features_help_requested,3,Dummy random,,,0.5452380952380952,0.2857142857142857,0.35217196596506944
Level1,all_features_help_requested,3,Ordered baseline,,,0.0047619047619047615,0.02857142857142857,0.008163265306122448
Level1,all_features_help_requested,3,Naive Bayes,0.7190510854691528,{'naive_bayes_clf__alpha': 0.1},0.7424489795918366,0.6571428571428571,0.6797979797979798
Level1,all_features_help_requested,3,Logistic regression,0.8342681670570326,"{'logistic_regression_clf__C': 10.0, 'logistic_regression_clf__max_iter': 200}",0.7535305031103351,0.7142857142857143,0.7167681107530731
Level1,all_features_help_requested,3,SVM,0.8765655430065535,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 0.1, 'svm_gaussian_clf__kernel': 'rbf'}",0.7285714285714285,0.6571428571428571,0.6748717948717948
Level1,all_features_help_requested,3,Random Forest,0.859967320261438,"{'random_forest_clf__max_depth': 6, 'random_forest_clf__n_estimators': 50}",0.8038095238095238,0.8,0.7894962180676467
Level1,all_features_help_requested,4,Dummy random,,,0.3934108527131782,0.18604651162790697,0.2409730722154223
Level1,all_features_help_requested,4,Ordered baseline,,,0.03423772609819121,0.11627906976744186,0.05072759417924656
