level_key,features_set,K,classifier,grid_F1,grid_params,precision,recall,f1_score
Level1,mean_sd_rate_features_nohelp_nosub,0,Dummy random baseline,,,0.24592074592074592,0.18181818181818182,0.17474747474747473
Level1,mean_sd_rate_features_nohelp_nosub,0,Ordered baseline,,,0.2109090909090909,0.2727272727272727,0.1793831168831169
Level1,mean_sd_rate_features_nohelp_nosub,0,Teacher Ordered baseline,,,0.4636363636363637,0.5454545454545454,0.4741647241647241
Level1,mean_sd_rate_features_nohelp_nosub,0,Naive Bayes,0.5003749123965265,{'naive_bayes_clf__alpha': 1.0},0.4480519480519481,0.5757575757575758,0.4934640522875817
Level1,mean_sd_rate_features_nohelp_nosub,0,Logistic regression,0.6617951013636354,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.5025657645978502,0.5151515151515151,0.4896043771043771
Level1,mean_sd_rate_features_nohelp_nosub,0,SVM,0.6272221822234598,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.5643939393939394,0.5454545454545454,0.4691919191919192
Level1,mean_sd_rate_features_nohelp_nosub,0,Random Forest,0.724250746363855,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.57243265993266,0.5757575757575758,0.5686123911930363
Level1,mean_sd_rate_features_nohelp_nosub,1,Dummy random baseline,,,0.17142857142857143,0.1,0.10357142857142856
Level1,mean_sd_rate_features_nohelp_nosub,1,Ordered baseline,,,0.606060606060606,0.2,0.2119047619047619
Level1,mean_sd_rate_features_nohelp_nosub,1,Teacher Ordered baseline,,,0.5121212121212121,0.5666666666666667,0.5140964493905671
Level1,mean_sd_rate_features_nohelp_nosub,1,Naive Bayes,0.45970765914986994,{'naive_bayes_clf__alpha': 1.0},0.25,0.5,0.3333333333333333
Level1,mean_sd_rate_features_nohelp_nosub,1,Logistic regression,0.643341702973808,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.6047619047619048,0.6333333333333333,0.5981481481481482
Level1,mean_sd_rate_features_nohelp_nosub,1,SVM,0.5657322579305338,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.7458333333333333,0.7,0.6582264957264957
Level1,mean_sd_rate_features_nohelp_nosub,1,Random Forest,0.6526732529975561,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.8350877192982457,0.7666666666666667,0.7594771241830064
Level1,mean_sd_rate_features_nohelp_nosub,2,Dummy random baseline,,,0.4142857142857143,0.2857142857142857,0.3154285714285714
Level1,mean_sd_rate_features_nohelp_nosub,2,Ordered baseline,,,0.5817805383022775,0.2857142857142857,0.2820047677190535
