level_key,features_set,K,classifier,Precision,Recall,F1_score
Level1,mean_sd_rate_features_nohelp_nosub,0,Dummy random baseline,0.403030303030303,0.30303030303030304,0.29997453526865286
Level1,mean_sd_rate_features_nohelp_nosub,1,Dummy random baseline,0.4106060606060606,0.3,0.346693657219973
Level1,mean_sd_rate_features_nohelp_nosub,2,Dummy random baseline,0.5311904761904762,0.4,0.413061224489796
Level1,mean_sd_rate_features_nohelp_nosub,3,Dummy random baseline,0.3996336996336996,0.17142857142857143,0.2123809523809524
Level1,mean_sd_rate_features_nohelp_nosub,4,Dummy random baseline,0.4358204134366925,0.3023255813953488,0.3163735615580914
Level1,mean_sd_rate_features_nohelp_nosub,0,Ordered baseline,0.2109090909090909,0.2727272727272727,0.1793831168831169
Level1,mean_sd_rate_features_nohelp_nosub,1,Ordered baseline,0.606060606060606,0.2,0.2119047619047619
Level1,mean_sd_rate_features_nohelp_nosub,2,Ordered baseline,0.5817805383022775,0.2857142857142857,0.2820047677190535
Level1,mean_sd_rate_features_nohelp_nosub,3,Ordered baseline,0.20782608695652174,0.11428571428571428,0.0954715821812596
Level1,mean_sd_rate_features_nohelp_nosub,4,Ordered baseline,0.3993478528362249,0.32558139534883723,0.27986325797543304
Level1,mean_sd_rate_features_nohelp_nosub,0,Teacher ordered baseline,0.4636363636363637,0.5454545454545454,0.4741647241647241
Level1,mean_sd_rate_features_nohelp_nosub,1,Teacher ordered baseline,0.5121212121212121,0.5666666666666667,0.5140964493905671
Level1,mean_sd_rate_features_nohelp_nosub,2,Teacher ordered baseline,0.5051759834368531,0.5714285714285714,0.5261224489795918
Level1,mean_sd_rate_features_nohelp_nosub,3,Teacher ordered baseline,0.8074534161490683,0.8571428571428571,0.831168831168831
Level1,mean_sd_rate_features_nohelp_nosub,4,Teacher ordered baseline,0.4879414298018949,0.5813953488372093,0.5302325581395348
Level1,mean_sd_rate_features_nohelp_nosub,0,Naive Bayes,0.4480519480519481,0.5757575757575758,0.4934640522875817
Level1,mean_sd_rate_features_nohelp_nosub,1,Naive Bayes,0.25,0.5,0.3333333333333333
Level1,mean_sd_rate_features_nohelp_nosub,2,Naive Bayes,0.5578231292517007,0.6285714285714286,0.5894736842105264
Level1,mean_sd_rate_features_nohelp_nosub,3,Naive Bayes,0.5704761904761905,0.6,0.5349709114414997
Level1,mean_sd_rate_features_nohelp_nosub,4,Naive Bayes,0.3794573643410853,0.5348837209302325,0.41011443337024744
Level1,mean_sd_rate_features_nohelp_nosub,0,Logistic regression,0.5025657645978502,0.5151515151515151,0.4896043771043771
Level1,mean_sd_rate_features_nohelp_nosub,1,Logistic regression,0.6047619047619048,0.6333333333333333,0.5981481481481482
Level1,mean_sd_rate_features_nohelp_nosub,2,Logistic regression,0.7591836734693876,0.7428571428571429,0.73992673992674
Level1,mean_sd_rate_features_nohelp_nosub,3,Logistic regression,0.7321428571428571,0.7714285714285715,0.7447619047619047
Level1,mean_sd_rate_features_nohelp_nosub,4,Logistic regression,0.6087366436203646,0.6046511627906976,0.5328165374677003
